Wavelength Scan - Scanning

Instrument Name:,,,DU 800 Spectrophotometer
Serial Number:,,,8002288
Software Version:,,,"2.0,  Build 67"
Firmware Version:,,,2.0.012
Method Name:,,,<Default Method>
Organization:,,,
Department:,,,
Operator:,,,
Product Name:,,,
Component Name:,,,
Lot Number:,,,
Comment:,,,
Signature 1:,,,
Signature 2:,,,
Signature 3:,,,
Signature 4:,,,
Signature 5:,,,

#,Filename,Acquired
1,,"July 01, 2024 1:59 PM"

Scan Mode:,,,Abs
Start Wavelength:,,,370.0 nm
End Wavelength:,,,780.0 nm
Wavelength Interval:,,,1.0 nm
Scan Speed:,,,1200 nm/min

,Sample Name,,Description
1,Sample 1-1,,1112-1-1-0V
2,Sample 2-1,,1112-1-1-5V
3,Sample 3-1,,1112-1-1-11V
4,Sample 4-1,,1112-1-2-0V
5,Sample 5-1,,1112-1-2-11V
6,Sample 6-1,,1112-1-2-5V

nm,Abs 1,Abs 2,Abs 3,Abs 4,Abs 5,Abs 6
752.0,0.0528,0.0614,0.0633,0.0536,0.0639,0.0622
753.0,0.0527,0.0609,0.0627,0.0534,0.0634,0.0618
754.0,0.0527,0.0606,0.0623,0.0532,0.0628,0.0612
755.0,0.0526,0.0602,0.0618,0.0530,0.0622,0.0607
756.0,0.0525,0.0598,0.0613,0.0528,0.0617,0.0603
757.0,0.0525,0.0595,0.0609,0.0526,0.0611,0.0597
758.0,0.0524,0.0591,0.0605,0.0524,0.0606,0.0593
759.0,0.0523,0.0589,0.0602,0.0522,0.0601,0.0589
760.0,0.0522,0.0586,0.0599,0.0520,0.0596,0.0584
761.0,0.0521,0.0583,0.0595,0.0518,0.0591,0.0580
762.0,0.0521,0.0581,0.0592,0.0517,0.0586,0.0575
763.0,0.0519,0.0577,0.0588,0.0515,0.0582,0.0572
764.0,0.0518,0.0575,0.0586,0.0514,0.0578,0.0567
765.0,0.0517,0.0572,0.0583,0.0512,0.0574,0.0563
766.0,0.0516,0.0570,0.0579,0.0511,0.0570,0.0560
767.0,0.0515,0.0568,0.0577,0.0510,0.0566,0.0556
768.0,0.0514,0.0564,0.0573,0.0508,0.0563,0.0553
769.0,0.0513,0.0563,0.0571,0.0508,0.0559,0.0549
770.0,0.0512,0.0560,0.0568,0.0507,0.0557,0.0548
771.0,0.0512,0.0558,0.0566,0.0506,0.0554,0.0545
772.0,0.0511,0.0555,0.0563,0.0506,0.0551,0.0542
773.0,0.0511,0.0553,0.0560,0.0506,0.0550,0.0540
774.0,0.0511,0.0550,0.0558,0.0506,0.0547,0.0538
775.0,0.0511,0.0548,0.0555,0.0506,0.0545,0.0536
776.0,0.0511,0.0546,0.0552,0.0505,0.0543,0.0534
777.0,0.0511,0.0544,0.0550,0.0506,0.0541,0.0532
778.0,0.0512,0.0542,0.0548,0.0506,0.0540,0.0531
779.0,0.0512,0.0540,0.0546,0.0507,0.0538,0.0530
780.0,0.0513,0.0539,0.0544,0.0506,0.0537,0.0529
